date,day_of_week,month,rating,keywords
2025-09-28,Sunday,September,0,
2025-09-29,Monday,September,3,
2025-09-30,Tuesday,September,2,
2025-10-01,Wednesday,October,3,
2025-10-02,Thursday,October,2,
2025-10-03,Friday,October,3,
2025-10-04,Saturday,October,4,
2025-10-05,Sunday,October,1,
2025-10-06,Monday,October,2,
2025-10-07,Tuesday,October,2,
2025-10-08,Wednesday,October,1,
2025-10-09,Thursday,October,-2,
2025-10-10,Friday,October,2,
2025-10-11,Saturday,October,2,
2025-10-12,Sunday,October,3,
2025-10-13,Monday,October,4,
2025-10-14,Tuesday,October,2,
2025-10-15,Wednesday,October,2,
2025-10-16,Thursday,October,1,
2025-10-17,Friday,October,3,
2025-10-18,Saturday,October,1,
2025-10-19,Sunday,October,4,
2025-10-20,Monday,October,1,
2025-10-21,Tuesday,October,3,
2025-10-22,Wednesday,October,2,
2025-10-23,Thursday,October,3,
2025-10-24,Friday,October,2,
2025-10-25,Saturday,October,1,
2025-10-26,Sunday,October,1,
2025-10-27,Monday,October,4,
2025-10-28,Tuesday,October,2,
2025-10-29,Wednesday,October,3,
2025-10-30,Thursday,October,1,
2025-10-31,Friday,October,3,
2025-11-01,Saturday,November,2,
2025-11-02,Sunday,November,1,
2025-11-03,Monday,November,4,
2025-11-04,Tuesday,November,3,
2025-11-05,Wednesday,November,2,
2025-11-06,Thursday,November,5,
2025-11-07,Friday,November,2,
2025-11-08,Saturday,November,1,
2025-11-09,Sunday,November,2,
2025-11-10,Monday,November,3,
2025-11-11,Tuesday,November,-1,
2025-11-12,Wednesday,November,2,
2025-11-13,Thursday,November,2,
2025-11-14,Friday,November,4,
2025-11-15,Saturday,November,2,
2025-11-16,Sunday,November,3,
2025-11-17,Monday,November,2,
2025-11-18,Tuesday,November,1,
2025-11-19,Wednesday,November,2,
2025-11-20,Thursday,November,1,
2025-11-21,Friday,November,3,
2025-11-22,Saturday,November,2,
2025-11-23,Sunday,November,3,
2025-11-24,Monday,November,2,
2025-11-25,Tuesday,November,4,
2025-11-26,Wednesday,November,2,
2025-11-27,Thursday,November,2,
2025-11-28,Friday,November,1,
2025-11-29,Saturday,November,4,
2025-11-30,Sunday,November,3,
2025-12-01,Monday,December,4,
2025-12-02,Tuesday,December,3,
2025-12-03,Wednesday,December,2,
2025-12-04,Thursday,December,2,
2025-12-05,Friday,December,5,
2025-12-06,Saturday,December,3,
2025-12-07,Sunday,December,2,
2025-12-08,Monday,December,3,
2025-12-09,Tuesday,December,1,
2025-12-10,Wednesday,December,4,
2025-12-11,Thursday,December,3,
2025-12-12,Friday,December,2,
2025-12-13,Saturday,December,3,
2025-12-14,Sunday,December,2,
2025-12-15,Monday,December,4,
2025-12-16,Tuesday,December,3,
2025-12-17,Wednesday,December,3,
2025-12-18,Thursday,December,2,
2025-12-19,Friday,December,2,
2025-12-20,Saturday,December,5,
2025-12-21,Sunday,December,1,
2025-12-22,Monday,December,2,
2025-12-23,Tuesday,December,3,
2025-12-24,Wednesday,December,4,
2025-12-25,Thursday,December,-2,
2025-12-26,Friday,December,0,
2025-12-27,Saturday,December,-3,
2025-12-28,Sunday,December,4,
2025-12-29,Monday,December,1,
2025-12-30,Tuesday,December,2,
2025-12-31,Wednesday,December,5,
